rentree_scolaire;uai;secteur;ips;position;appellation_officielle;libelle_academie;code_departement;libelle_departement;code_commune;libelle_commune
2023-2024;0594628K;public;112.5;50.6696987944097,2.97350955943881;Collège Jacques Monod;Lille;059;Nord;59457;Pérenchies
2023-2024;0594876E;public;92.5;50.19636234641837,3.6082095864660104;Collège Montaigne;Lille;059;Nord;59464;Poix-du-Nord
2023-2024;0620199E;public;88.4;50.718521027312086,1.6098101033211176;Collège Pierre Daunou;Lille;062;Pas-de-Calais;62160;Boulogne-sur-Mer
2023-2024;0622090K;public;90.1;50.51889991403288,2.6661803974822464;Collège Albert Debeyre;Lille;062;Pas-de-Calais;62126;Beuvry
2023-2024;0622432G;public;98.7;50.9570611204092,1.8535390393491435;Collège Jean Macé;Lille;062;Pas-de-Calais;62193;Calais
2023-2024;0622789V;public;81.9;50.301286630319076,2.7505104747791638;Collège Charles Péguy;Lille;062;Pas-de-Calais;62041;Arras
2023-2024;0594308M;public;84.3;50.05729880556586,4.111670619563331;Collège Denis Saurat;Lille;059;Nord;59601;Trélon
2023-2024;0622269E;public;83.8;50.47179839596067,2.6625203622757074;Collège Anatole France;Lille;062;Pas-de-Calais;62617;Noeux-les-Mines
2023-2024;0590082U;public;115.3;50.42710776071974,3.184340322301246;Collège Jean Moulin;Lille;059;Nord;59239;Flines-lez-Raches
2023-2024;0593103C;privé sous contrat;99.0;50.646827656982204,2.719369595601835;Collège privé Sacré-Coeur;Lille;059;Nord;59212;Estaires
2023-2024;0593159N;privé sous contrat;103.9;50.83391331367516,2.2106302829503464;Collège privé Sacré-Coeur;Lille;059;Nord;59647;Watten
2023-2024;0593218C;privé sous contrat;117.0;50.641612858191934,3.0958697192505484;Collège privé Lacordaire;Lille;059;Nord;59410;Mons-en-Baroeul
2023-2024;0593234V;public;112.1;50.53340847736127,2.931829619272259;Collège Albert Ball;Lille;059;Nord;59011;Annoeullin
2023-2024;0593475G;public;108.1;50.571996731098764,2.9399274470057177;Collège Léon Blum;Lille;059;Nord;59653;Wavrin
2023-2024;0595174D;public;92.7;50.17342677818578,3.2420900946825157;Collège Robert Badinter;Lille;059;Nord;59122;Cambrai
